Region,Peak Demand (in %),% of time of year
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,100.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,100.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,99.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,99.0,0.0
North-Eastern Region,98.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,97.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,97.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,100.0,0.0
Western Region,99.0,0.0
National,99.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,100.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,98.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,98.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,98.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,97.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,97.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,95.0,0.0
Northen Region,97.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,94.0,0.0
Northen Region,97.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
Eastern Region,96.0,0.0
North-Eastern Region,94.0,0.0
Northen Region,96.0,0.0
Southern Region,99.0,0.0
Western Region,99.0,0.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,96.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,98.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,94.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,96.0,1.0
Southern Region,99.0,1.0
Western Region,99.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,99.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,93.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,95.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,95.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,92.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,91.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,91.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,94.0,1.0
North-Eastern Region,91.0,1.0
Northen Region,94.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,93.0,1.0
North-Eastern Region,91.0,1.0
Northen Region,93.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,1.0
Eastern Region,93.0,1.0
North-Eastern Region,91.0,1.0
Northen Region,93.0,1.0
Southern Region,98.0,1.0
Western Region,98.0,1.0
National,97.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,98.0,2.0
Western Region,98.0,2.0
National,97.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,98.0,2.0
Western Region,98.0,2.0
National,97.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,98.0,2.0
Western Region,98.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,98.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,98.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,98.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,98.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,93.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,93.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,91.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,92.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,90.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,91.0,2.0
Southern Region,97.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,90.0,2.0
Southern Region,96.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,90.0,2.0
Southern Region,96.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,90.0,2.0
Southern Region,96.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,90.0,2.0
Southern Region,96.0,2.0
Western Region,97.0,2.0
National,96.0,2.0
Eastern Region,92.0,2.0
North-Eastern Region,89.0,2.0
Northen Region,90.0,2.0
Southern Region,96.0,2.0
Western Region,97.0,2.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,97.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,89.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,92.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,96.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,90.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,88.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,96.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,89.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,3.0
Eastern Region,91.0,3.0
North-Eastern Region,87.0,3.0
Northen Region,88.0,3.0
Southern Region,96.0,3.0
Western Region,95.0,3.0
National,95.0,4.0
Eastern Region,91.0,4.0
North-Eastern Region,87.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,87.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,87.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,87.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,95.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
